"key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
"3_1","3","1","2022_9_29_10-12-09_464.jpg",0,2,0,0,32,0,16,0,0,0,11,6,4,0,29,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_176.jpg",0,0,3,0,16,0,33,5,0,0,3,0,29,0,5,4,0,0,0
"3_1","3","1","2022_9_29_10-12-09_736.jpg",0,0,7,0,39,0,17,0,0,0,0,1,26,0,4,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_80.jpg",0,0,1,0,49,0,3,0,0,0,0,0,36,0,8,3,0,0,0
"3_1","3","1","2022_9_29_10-12-09_408.jpg",0,0,4,0,0,0,9,0,0,0,0,69,0,0,18,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_272.jpg",0,0,0,0,21,0,24,0,0,0,0,2,0,0,0,8,0,0,0
"3_1","3","1","2022_9_29_10-12-09_256.jpg",0,0,0,0,16,0,10,0,0,0,14,0,49,0,2,2,1,1,0
"3_1","3","1","2022_9_29_10-12-09_312.jpg",0,0,2,0,12,0,8,6,0,0,0,2,52,0,0,5,0,0,0
"3_1","3","1","2022_9_29_10-12-09_688.jpg",1,0,3,2,16,0,32,4,0,0,10,1,11,0,13,2,0,0,3
"3_1","3","1","2022_9_29_10-12-09_576.jpg",0,0,0,0,39,0,14,5,0,0,4,9,8,0,16,5,0,0,0
"3_1","3","1","2022_9_29_10-12-09_488.jpg",0,0,0,0,15,0,18,0,0,4,0,19,3,0,27,1,0,0,0
"3_1","3","1","2022_9_29_10-12-09_632.jpg",0,0,30,0,20,0,25,0,0,0,0,2,5,0,10,4,0,0,0
"3_1","3","1","2022_9_29_10-12-09_728.jpg",0,0,0,0,53,0,23,0,0,0,0,0,23,0,1,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_496.jpg",0,0,2,0,22,0,13,1,0,0,19,8,8,0,13,8,0,0,4
"3_1","3","1","2022_9_29_10-12-09_608.jpg",7,6,0,0,20,0,20,3,0,0,4,1,8,0,13,8,0,0,0
"3_1","3","1","2022_9_29_10-12-09_520.jpg",0,0,0,3,28,0,7,0,0,0,0,24,16,0,18,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_560.jpg",1,0,2,0,21,0,12,3,0,0,3,0,39,0,10,1,0,0,3
"3_1","3","1","2022_9_29_10-12-09_704.jpg",0,0,7,0,11,0,27,0,0,0,0,0,0,0,16,7,0,0,0
"3_1","3","1","2022_9_29_10-12-09_712.jpg",0,0,0,1,54,1,29,0,0,0,8,0,0,0,3,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_648.jpg",0,0,0,0,40,0,8,0,0,0,1,0,21,0,16,12,0,0,0
"3_1","3","1","2022_9_29_10-12-09_440.jpg",0,0,0,0,8,0,39,0,0,6,0,40,0,0,7,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_328.jpg",9,22,4,3,0,0,9,0,0,0,0,1,42,0,2,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_8.jpg",8,14,8,13,13,0,1,0,0,0,0,0,42,0,1,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_216.jpg",18,38,0,26,0,0,7,0,0,0,6,1,0,0,3,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_200.jpg",15,17,0,33,0,0,2,0,0,0,0,1,26,0,1,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_456.jpg",36,51,0,2,0,0,6,0,0,0,4,0,0,0,1,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_408.jpg",22,28,1,0,0,0,2,0,0,0,2,1,40,0,1,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_416.jpg",14,16,0,0,0,0,0,0,0,0,1,0,69,0,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_488.jpg",9,30,0,0,0,0,8,0,0,0,0,0,53,0,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_24.jpg",15,45,0,6,7,0,9,0,0,0,0,0,13,0,3,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_176.jpg",10,34,5,36,0,0,12,0,0,0,1,0,0,0,1,1,0,0,0
"4_1","4","1","2022_10_10_09-46-57_56.jpg",10,5,0,6,13,0,7,0,0,0,0,0,53,0,6,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_272.jpg",9,29,10,16,7,0,10,0,0,0,2,0,15,0,2,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_344.jpg",0,4,2,0,20,0,8,0,0,0,0,0,60,0,2,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_392.jpg",2,16,0,0,0,0,29,0,0,0,0,0,53,0,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_0.jpg",9,7,5,7,9,0,5,0,0,0,1,0,42,0,3,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_184.jpg",33,25,5,12,1,0,11,0,0,0,2,3,0,0,8,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_288.jpg",3,18,8,17,0,0,8,0,0,0,0,0,13,0,28,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_264.jpg",5,30,2,27,0,0,11,0,0,0,0,0,0,0,21,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_312.jpg",10,28,3,4,0,0,6,0,0,0,3,5,40,0,1,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_40.jpg",9,16,2,26,0,0,7,0,0,0,0,2,33,0,4,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_440.jpg",10,11,0,0,0,0,28,0,0,0,0,0,51,0,0,0,0,0,0
